Generating new quadtree...
         14063955 function calls (14056976 primitive calls) in 10.199 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1621(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1634(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1641(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1668(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1688(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.001    0.001 __init__.py:177(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1863(FileMetadata)
       13    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1875(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1881(has_metadata)
        8    0.000    0.000    0.000    0.000 __init__.py:1884(get_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        8    0.000    0.000    0.000    0.000 __init__.py:1893(_warn_on_replacement)
        8    0.000    0.000    0.000    0.000 __init__.py:1901(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1905(PathMetadata)
       52    0.000    0.000    0.000    0.000 __init__.py:1925(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1930(EggMetadata)
       11    0.000    0.000    0.000    0.000 __init__.py:1930(getLogger)
        4    0.000    0.000    0.000    0.000 __init__.py:1948(register_finder)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
       12    0.000    0.000    0.000    0.000 __init__.py:1958(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:1995(find_nothing)
       10    0.000    0.000    0.005    0.001 __init__.py:2002(_by_version_descending)
       60    0.000    0.000    0.004    0.000 __init__.py:2017(_by_version)
       60    0.000    0.000    0.003    0.000 __init__.py:2023(<listcomp>)
       70    0.000    0.000    0.018    0.000 __init__.py:2028(find_on_path)
       70    0.000    0.000    0.001    0.000 __init__.py:2046(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:2059(NullHandler)
      832    0.000    0.000    0.001    0.000 __init__.py:2060(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2077(NoDists)
      712    0.000    0.000    0.000    0.000 __init__.py:2085(__bool__)
       10    0.000    0.000    0.000    0.000 __init__.py:2094(safe_listdir)
      120    0.000    0.000    0.012    0.000 __init__.py:2115(distributions_from_metadata)
       12    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:2164(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       12    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
       30    0.000    0.000    0.000    0.000 __init__.py:2281(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        6    0.000    0.000    0.000    0.000 __init__.py:2320(normalize_path)
        6    0.000    0.000    0.000    0.000 __init__.py:2325(_cygwin_patch)
      190    0.000    0.000    0.000    0.000 __init__.py:2336(_normalize_cached)
       10    0.000    0.000    0.000    0.000 __init__.py:2344(_is_egg_path)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
       10    0.000    0.000    0.000    0.000 __init__.py:2351(_is_unpacked_egg)
      200    0.000    0.000    0.001    0.000 __init__.py:2369(yield_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:2398(EntryPoint)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(_register_at_fork_acquire_release)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
       50    0.000    0.000    0.006    0.000 __init__.py:2539(_version_from_file)
      150    0.000    0.000    0.000    0.000 __init__.py:2544(is_version_line)
        1    0.000    0.000    0.000    0.000 __init__.py:2552(Distribution)
       60    0.000    0.000    0.002    0.000 __init__.py:2556(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
       60    0.000    0.000    0.010    0.000 __init__.py:2569(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:258(VersionConflict)
       10    0.000    0.000    0.000    0.000 __init__.py:2586(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      180    0.000    0.000    0.000    0.000 __init__.py:2628(key)
      230    0.000    0.000    0.005    0.000 __init__.py:2756(_get_metadata)
       50    0.000    0.000    0.006    0.000 __init__.py:2761(_get_version)
       30    0.000    0.000    0.001    0.000 __init__.py:2767(activate)
      190    0.000    0.000    0.000    0.000 __init__.py:2803(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:281(LogRecord)
       30    0.000    0.000    0.000    0.000 __init__.py:2861(insert_on)
       30    0.000    0.000    0.000    0.000 __init__.py:2887(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:290(ContextualVersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:2972(EggInfoDistribution)
       50    0.000    0.000    0.007    0.000 __init__.py:2973(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:2991(DistInfoDistribution)
        1    0.000    0.000    0.003    0.003 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:303(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:3061(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:3088(Requirement)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
       12    0.000    0.000    0.000    0.000 __init__.py:3142(_always_object)
       12    0.000    0.000    0.000    0.000 __init__.py:3152(_find_adapter)
       24    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
        2    0.000    0.000    0.020    0.010 __init__.py:3224(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3229(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3235(<genexpr>)
        1    0.000    0.000    0.020    0.020 __init__.py:3241(_initialize_master_working_set)
       31    0.000    0.000    0.001    0.000 __init__.py:3268(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:3280(PkgResourcesDeprecationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:330(UnknownExtra)
        1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:344(register_loader_type)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:379(PyDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:387(get_build_platform)
      126    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:419(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:420(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:435(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:444(StringTemplateStyle)
        2    0.000    0.000    0.008    0.004 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:468(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.034    0.034   10.066   10.066 __init__.py:5(test_png_file)
        1    0.000    0.000    0.000    0.000 __init__.py:502(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:513(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:525(IResourceProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:553(WorkingSet)
        1    0.000    0.000    0.010    0.010 __init__.py:556(__init__)
        1    0.000    0.000    0.010    0.010 __init__.py:569(_build_master)
        1    0.000    0.000    0.189    0.189 __init__.py:6(<module>)
       12    0.000    0.000    0.019    0.002 __init__.py:611(add_entry)
        1    0.000    0.000    0.000    0.000 __init__.py:643(BufferingFormatter)
       31    0.000    0.000    0.000    0.000 __init__.py:668(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:685(Filter)
       60    0.000    0.000    0.001    0.000 __init__.py:685(add)
        1    0.000    0.000    0.008    0.008 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:722(Filterer)
       13    0.000    0.000    0.000    0.000 __init__.py:727(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:794(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:8(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:80(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:804(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:813(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:842(createLock)
        1    0.000    0.000    0.001    0.001 __init__.py:86(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:907(subscribe)
       30    0.000    0.000    0.000    0.000 __init__.py:921(_added_new)
        1    0.000    0.000    0.000    0.000 __init__.py:939(_ReqExtras)
        1    0.000    0.000    0.001    0.001 __init__.py:959(Environment)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:991(StreamHandler)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6783(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6824(<genexpr>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:27(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:28(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
